Restore Red Colors + Remove Haze Effects
============================================================
Total files processed: 60
Files changed: 60

Changes:
------------------------------------------------------------
safety-installs\about.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\contact.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable, Removed backdrop-filter blur
safety-installs\referrals.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\service-area.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services-source.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable, Removed backdrop-filter blur
safety-installs\services.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable, Removed backdrop-filter blur
safety-installs\services\audio-visual\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\basement-finishing\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\bathroom-remodels\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\cabinet-refacing\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\cable-management\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\concrete-pouring\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\concrete-repair\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\countertop-repair\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\custom-cabinets\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\custom-storage\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\deck-construction\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\driveway-installation\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\drywall-repair\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\emergency-repairs\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\emergency-snow\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\fence-installation\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\fence-repair\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\fertilization\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\floor-refinishing\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\flooring-installation\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\garden-maintenance\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\gutter-cleaning\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\handyman-repair-services\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\handyman-services\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\hardwood-flooring\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\home-audio\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
safety-installs\services\home-remodeling\index.html: Restored red color scheme, Restored red rgba colors, Restored red CSS variable, Fixed :root red variable
